"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-01","8.05",,"0.00","0.0","0.0","51","56","47","  130","  160","17.0","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-02","6.93",,"0.00","0.0","0.0","51","61","43","  140",,"16.1",,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-03","7.61",,"0.00","0.0","0.0","55","67","46","  190","  200","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-04","10.07",,"0.00","0.0","0.0","61","74","50","  190","  190","28.0","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-05","5.37",,"0.00","0.0","0.0","67","82","55","  180","  170","13.0","16.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-06","7.61",,"0.00","0.0","0.0","65","70","54","   40","   40","17.0","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-07","6.26",,"0.00","0.0","0.0","62","72","51","  190","  180","13.0","15.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-08","5.82",,"0.00","0.0","0.0","60","72","53","  170","  180","13.0","16.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-09","6.26",,"0.02","0.0","0.0","61","64","58","   80","   90","14.1","16.1","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-10","9.62",,"0.00","0.0","0.0","64","74","58","  190","  190","21.9","25.9","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-11","9.40",,"0.00","0.0","0.0","68","77","62","  180","  180","25.9","33.1","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-12","12.75",,"0.01","0.0","0.0","73","87","65","  290","  310","30.0","38.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-13","16.55",,"0.00","0.0","0.0","67","73","55","  320","  310","29.1","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-14","11.63",,"0.00","0.0","0.0","60","71","51","  190","  230","17.0","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-15","11.41",,"0.00","0.0","0.0","61","71","53","  180","  180","21.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-16","5.14",,"0.41","0.0","0.0","62","70","58","  170","  160","10.1","13.0","    1",,"    1",,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-17","6.49",,"0.00","0.0","0.0","69","81","61","  180","  200","13.0","15.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-18","9.62",,"0.00","0.0","0.0","63","68","57","   80","  100","21.0","23.0","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-19","5.59",,"0.00","0.0","0.0","62","75","57","  340","  340","23.0","30.0","    1","    1",,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-20","15.88",,"0.00","0.0","0.0","63","69","54","  300","  300","25.9","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-21","6.26",,"0.00","0.0","0.0","56","62","52","  200","  190","16.1","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-22","13.65",,"0.00","0.0","0.0","63","79","54","  300","  300","25.9","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-23","14.76",,"0.00","0.0","0.0","60","68","51","  330","  320","28.0","36.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-24","14.09",,"0.00","0.0","0.0","62","74","53","  180","  180","23.0","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-25","12.75",,"0.00","0.0","0.0","66","77","57","  190","  190","31.1","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-26","12.75",,"0.00","0.0","0.0","68","76","60","  190","  190","25.9","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-27","14.09",,"0.00","0.0","0.0","66","74","61","  180","  180","36.0","44.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-28","7.61",,"0.00","0.0","0.0","65","78","60","  180","  180","21.0","25.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-29","7.38",,"0.00","0.0","0.0","71","80","63","  140","   30","14.1","18.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-30","13.87",,"0.00","0.0","0.0","69","78","62","  180","  180","30.0","36.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-31","10.29",,"0.02","0.0","0.0","69","79","63","  180","  180","23.9","30.0",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-01","12.08",,"0.78","0.0","0.0","62","63","52","   90","  100","19.9","23.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-02","10.07",,"0.34","0.0","0.0","53","56","51","   30","   30","17.0","21.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-03","8.72",,"0.00","0.0","0.0","58","68","53","  150","   40","15.0","18.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-04","11.41",,"0.00","0.0","0.0","59","67","55","  100","  110","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-05","5.37",,"0.00","0.0","0.0","60","69","57","   40","   40","13.0","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-06","8.95",,"0.20","0.0","0.0","66","79","59","  350","  350","21.9","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-07","8.95",,"0.00","0.0","0.0","64","71","56","  180","  170","19.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-08","18.12",,"0.02","0.0","0.0","66","73","61","  180","  180","31.1","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-09","13.65",,"0.00","0.0","0.0","70","85","64","  270","  180","23.9","30.0","    1",,,,,,,
